model,sample_index,number_of_atoms,dft_negative_mode_count,predicted_negative_mode_count,exact_negative_mode_count_match,dft_stationary_point_class,predicted_stationary_point_class,three_class_match
LeftNet-CF AD,371,15,0,0,True,Minimum,Minimum,True
LeftNet-CF AD,372,14,0,0,True,Minimum,Minimum,True
LeftNet-CF AD,373,10,2,2,True,Higher-order saddle point,Higher-order saddle point,True
LeftNet-CF AD,374,12,0,0,True,Minimum,Minimum,True
LeftNet-CF AD,375,12,1,1,True,Transition state,Transition state,True
LeftNet-CF AD,376,16,1,1,True,Transition state,Transition state,True
LeftNet-CF AD,377,11,1,1,True,Transition state,Transition state,True
LeftNet-CF AD,378,17,1,1,True,Transition state,Transition state,True
LeftNet-CF AD,379,13,1,1,True,Transition state,Transition state,True
LeftNet-CF AD,380,8,2,2,True,Higher-order saddle point,Higher-order saddle point,True
LeftNet-CF AD,381,9,0,0,True,Minimum,Minimum,True
LeftNet-CF AD,382,12,0,1,False,Minimum,Transition state,False
LeftNet-CF AD,383,10,1,1,True,Transition state,Transition state,True
LeftNet-CF AD,384,14,0,1,False,Minimum,Transition state,False
LeftNet-CF AD,385,14,0,0,True,Minimum,Minimum,True
LeftNet-CF AD,386,13,2,2,True,Higher-order saddle point,Higher-order saddle point,True
LeftNet-CF AD,387,16,1,1,True,Transition state,Transition state,True
LeftNet-CF AD,388,12,0,0,True,Minimum,Minimum,True
LeftNet-CF AD,389,16,1,1,True,Transition state,Transition state,True
LeftNet-CF AD,390,13,3,3,True,Higher-order saddle point,Higher-order saddle point,True
LeftNet-CF AD,391,15,2,2,True,Higher-order saddle point,Higher-order saddle point,True
LeftNet-CF AD,392,11,0,0,True,Minimum,Minimum,True
LeftNet-CF AD,393,9,0,0,True,Minimum,Minimum,True
LeftNet-CF AD,394,13,0,0,True,Minimum,Minimum,True
LeftNet-CF AD,395,13,2,2,True,Higher-order saddle point,Higher-order saddle point,True
LeftNet-CF AD,396,10,1,1,True,Transition state,Transition state,True
LeftNet-CF AD,397,13,0,0,True,Minimum,Minimum,True
LeftNet-CF AD,398,9,0,0,True,Minimum,Minimum,True
LeftNet-CF AD,399,14,2,2,True,Higher-order saddle point,Higher-order saddle point,True
LeftNet-CF AD,400,14,0,0,True,Minimum,Minimum,True
LeftNet-CF AD,401,14,0,1,False,Minimum,Transition state,False
LeftNet-CF AD,402,15,1,1,True,Transition state,Transition state,True
LeftNet-CF AD,403,16,1,1,True,Transition state,Transition state,True
LeftNet-CF AD,404,12,0,0,True,Minimum,Minimum,True
LeftNet-CF AD,405,12,3,3,True,Higher-order saddle point,Higher-order saddle point,True
LeftNet-CF AD,406,12,2,1,False,Higher-order saddle point,Transition state,False
LeftNet-CF AD,407,14,0,0,True,Minimum,Minimum,True
LeftNet-CF AD,408,10,0,0,True,Minimum,Minimum,True
LeftNet-CF AD,409,18,2,2,True,Higher-order saddle point,Higher-order saddle point,True
LeftNet-CF AD,410,6,0,0,True,Minimum,Minimum,True
LeftNet-CF AD,411,12,0,0,True,Minimum,Minimum,True
LeftNet-CF AD,412,11,1,1,True,Transition state,Transition state,True
LeftNet-CF AD,413,19,3,2,False,Higher-order saddle point,Higher-order saddle point,True
LeftNet-CF AD,414,16,2,2,True,Higher-order saddle point,Higher-order saddle point,True
LeftNet-CF AD,415,13,3,3,True,Higher-order saddle point,Higher-order saddle point,True
LeftNet-CF AD,416,17,1,1,True,Transition state,Transition state,True
LeftNet-CF AD,417,12,0,0,True,Minimum,Minimum,True
LeftNet-CF AD,418,12,0,0,True,Minimum,Minimum,True
LeftNet-CF AD,419,13,1,0,False,Transition state,Minimum,False
LeftNet-CF AD,420,11,0,1,False,Minimum,Transition state,False
LeftNet-CF AD,421,15,3,3,True,Higher-order saddle point,Higher-order saddle point,True
LeftNet-CF AD,422,19,0,1,False,Minimum,Transition state,False
LeftNet-CF AD,423,16,3,3,True,Higher-order saddle point,Higher-order saddle point,True
LeftNet-CF AD,424,14,4,4,True,Higher-order saddle point,Higher-order saddle point,True
LeftNet-CF AD,425,14,1,1,True,Transition state,Transition state,True
LeftNet-CF AD,426,15,1,1,True,Transition state,Transition state,True
LeftNet-CF AD,427,10,0,0,True,Minimum,Minimum,True
LeftNet-CF AD,428,10,1,1,True,Transition state,Transition state,True
LeftNet-CF AD,429,14,0,1,False,Minimum,Transition state,False
LeftNet-CF AD,430,14,0,1,False,Minimum,Transition state,False
LeftNet-CF AD,431,15,0,0,True,Minimum,Minimum,True
LeftNet-CF AD,432,16,0,0,True,Minimum,Minimum,True
LeftNet-CF AD,433,15,1,1,True,Transition state,Transition state,True
LeftNet-CF AD,434,12,0,0,True,Minimum,Minimum,True
LeftNet-CF AD,435,15,1,2,False,Transition state,Higher-order saddle point,False
LeftNet-CF AD,436,15,0,0,True,Minimum,Minimum,True
LeftNet-CF AD,437,11,2,3,False,Higher-order saddle point,Higher-order saddle point,True
LeftNet-CF AD,438,13,0,0,True,Minimum,Minimum,True
LeftNet-CF AD,439,15,0,0,True,Minimum,Minimum,True
LeftNet-CF AD,440,16,1,1,True,Transition state,Transition state,True
LeftNet-CF AD,441,16,4,4,True,Higher-order saddle point,Higher-order saddle point,True
LeftNet-CF AD,442,15,2,2,True,Higher-order saddle point,Higher-order saddle point,True
LeftNet-CF AD,443,16,2,2,True,Higher-order saddle point,Higher-order saddle point,True
LeftNet-CF AD,444,13,1,1,True,Transition state,Transition state,True
LeftNet-CF AD,445,14,0,0,True,Minimum,Minimum,True
LeftNet-CF AD,446,18,0,1,False,Minimum,Transition state,False
LeftNet-CF AD,447,11,1,1,True,Transition state,Transition state,True
LeftNet-CF AD,448,10,1,1,True,Transition state,Transition state,True
LeftNet-CF AD,449,14,2,2,True,Higher-order saddle point,Higher-order saddle point,True
LeftNet-CF AD,450,18,0,0,True,Minimum,Minimum,True
LeftNet-CF AD,451,13,1,1,True,Transition state,Transition state,True
LeftNet-CF AD,452,19,2,2,True,Higher-order saddle point,Higher-order saddle point,True
LeftNet-CF AD,453,13,1,1,True,Transition state,Transition state,True
LeftNet-CF AD,454,10,3,3,True,Higher-order saddle point,Higher-order saddle point,True
LeftNet-CF AD,455,12,0,0,True,Minimum,Minimum,True
LeftNet-CF AD,456,14,1,1,True,Transition state,Transition state,True
LeftNet-CF AD,457,14,1,1,True,Transition state,Transition state,True
LeftNet-CF AD,458,10,0,0,True,Minimum,Minimum,True
LeftNet-CF AD,459,19,1,1,True,Transition state,Transition state,True
LeftNet-CF AD,460,16,1,1,True,Transition state,Transition state,True
LeftNet-CF AD,461,14,0,0,True,Minimum,Minimum,True
LeftNet-CF AD,462,11,0,0,True,Minimum,Minimum,True
LeftNet-CF AD,463,11,1,1,True,Transition state,Transition state,True
LeftNet-CF AD,464,15,2,2,True,Higher-order saddle point,Higher-order saddle point,True
LeftNet-CF AD,465,14,0,0,True,Minimum,Minimum,True
LeftNet-CF AD,466,15,2,3,False,Higher-order saddle point,Higher-order saddle point,True
LeftNet-CF AD,467,13,0,0,True,Minimum,Minimum,True
LeftNet-CF AD,468,16,1,1,True,Transition state,Transition state,True
LeftNet-CF AD,469,11,0,0,True,Minimum,Minimum,True
LeftNet-CF AD,470,15,1,1,True,Transition state,Transition state,True
LeftNet-CF AD,471,13,0,0,True,Minimum,Minimum,True
LeftNet-CF AD,472,9,1,1,True,Transition state,Transition state,True
LeftNet-CF AD,473,17,1,1,True,Transition state,Transition state,True
LeftNet-CF AD,474,13,0,0,True,Minimum,Minimum,True
LeftNet-CF AD,475,12,0,0,True,Minimum,Minimum,True
LeftNet-CF AD,476,13,0,0,True,Minimum,Minimum,True
LeftNet-CF AD,477,14,2,2,True,Higher-order saddle point,Higher-order saddle point,True
LeftNet-CF AD,478,12,1,1,True,Transition state,Transition state,True
LeftNet-CF AD,479,16,0,1,False,Minimum,Transition state,False
LeftNet-CF AD,480,16,3,2,False,Higher-order saddle point,Higher-order saddle point,True
LeftNet-CF AD,481,18,1,1,True,Transition state,Transition state,True
LeftNet-CF AD,482,13,1,1,True,Transition state,Transition state,True
LeftNet-CF AD,483,14,0,0,True,Minimum,Minimum,True
LeftNet-CF AD,484,11,4,5,False,Higher-order saddle point,Higher-order saddle point,True
LeftNet-CF AD,485,17,1,2,False,Transition state,Higher-order saddle point,False
LeftNet-CF AD,486,16,2,2,True,Higher-order saddle point,Higher-order saddle point,True
LeftNet-CF AD,487,15,0,0,True,Minimum,Minimum,True
LeftNet-CF AD,488,16,4,3,False,Higher-order saddle point,Higher-order saddle point,True
LeftNet-CF AD,489,16,1,1,True,Transition state,Transition state,True
LeftNet-CF AD,490,9,2,2,True,Higher-order saddle point,Higher-order saddle point,True
LeftNet-CF AD,491,11,0,0,True,Minimum,Minimum,True
LeftNet-CF AD,492,16,2,2,True,Higher-order saddle point,Higher-order saddle point,True
LeftNet-CF AD,493,12,2,3,False,Higher-order saddle point,Higher-order saddle point,True
LeftNet-CF AD,494,14,0,0,True,Minimum,Minimum,True
LeftNet-CF AD,495,13,1,1,True,Transition state,Transition state,True
LeftNet-CF AD,496,14,1,1,True,Transition state,Transition state,True
LeftNet-CF AD,497,11,0,0,True,Minimum,Minimum,True
LeftNet-CF AD,498,15,0,0,True,Minimum,Minimum,True
LeftNet-CF AD,499,15,1,1,True,Transition state,Transition state,True
LeftNet-CF AD,500,12,1,1,True,Transition state,Transition state,True
LeftNet-CF AD,501,10,1,1,True,Transition state,Transition state,True
LeftNet-CF AD,502,16,1,1,True,Transition state,Transition state,True
LeftNet-CF AD,503,13,0,0,True,Minimum,Minimum,True
LeftNet-CF AD,504,10,2,3,False,Higher-order saddle point,Higher-order saddle point,True
LeftNet-CF AD,505,12,0,0,True,Minimum,Minimum,True
LeftNet-CF AD,506,21,1,2,False,Transition state,Higher-order saddle point,False
LeftNet-CF AD,507,10,0,1,False,Minimum,Transition state,False
LeftNet-CF AD,508,18,1,1,True,Transition state,Transition state,True
LeftNet-CF AD,509,12,1,1,True,Transition state,Transition state,True
LeftNet-CF AD,510,16,0,2,False,Minimum,Higher-order saddle point,False
LeftNet-CF AD,511,17,1,1,True,Transition state,Transition state,True
LeftNet-CF AD,512,21,3,3,True,Higher-order saddle point,Higher-order saddle point,True
LeftNet-CF AD,513,18,2,3,False,Higher-order saddle point,Higher-order saddle point,True
LeftNet-CF AD,514,13,1,1,True,Transition state,Transition state,True
LeftNet-CF AD,515,15,1,2,False,Transition state,Higher-order saddle point,False
LeftNet-CF AD,516,10,0,0,True,Minimum,Minimum,True
LeftNet-CF AD,517,17,1,1,True,Transition state,Transition state,True
LeftNet-CF AD,518,15,0,0,True,Minimum,Minimum,True
LeftNet-CF AD,519,12,1,1,True,Transition state,Transition state,True
LeftNet-CF AD,520,15,1,1,True,Transition state,Transition state,True
LeftNet-CF AD,521,14,1,1,True,Transition state,Transition state,True
LeftNet-CF AD,522,16,1,1,True,Transition state,Transition state,True
LeftNet-CF AD,523,12,3,3,True,Higher-order saddle point,Higher-order saddle point,True
LeftNet-CF AD,524,10,0,0,True,Minimum,Minimum,True
LeftNet-CF AD,525,12,0,0,True,Minimum,Minimum,True
LeftNet-CF AD,526,13,1,1,True,Transition state,Transition state,True
LeftNet-CF AD,527,15,1,1,True,Transition state,Transition state,True
LeftNet-CF AD,528,19,2,2,True,Higher-order saddle point,Higher-order saddle point,True
LeftNet-CF AD,529,10,1,1,True,Transition state,Transition state,True
LeftNet-CF AD,530,11,1,1,True,Transition state,Transition state,True
LeftNet-CF AD,531,16,0,0,True,Minimum,Minimum,True
LeftNet-CF AD,532,15,0,0,True,Minimum,Minimum,True
LeftNet-CF AD,533,15,1,2,False,Transition state,Higher-order saddle point,False
LeftNet-CF AD,534,14,2,3,False,Higher-order saddle point,Higher-order saddle point,True
LeftNet-CF AD,535,13,1,1,True,Transition state,Transition state,True
LeftNet-CF AD,536,12,3,3,True,Higher-order saddle point,Higher-order saddle point,True
LeftNet-CF AD,537,15,2,3,False,Higher-order saddle point,Higher-order saddle point,True
LeftNet-CF AD,538,16,0,1,False,Minimum,Transition state,False
LeftNet-CF AD,539,15,1,0,False,Transition state,Minimum,False
LeftNet-CF AD,540,11,1,1,True,Transition state,Transition state,True
LeftNet-CF AD,541,13,1,1,True,Transition state,Transition state,True
LeftNet-CF AD,542,14,1,2,False,Transition state,Higher-order saddle point,False
LeftNet-CF AD,543,16,0,0,True,Minimum,Minimum,True
LeftNet-CF AD,544,11,1,1,True,Transition state,Transition state,True
LeftNet-CF AD,545,14,0,0,True,Minimum,Minimum,True
LeftNet-CF AD,546,13,2,3,False,Higher-order saddle point,Higher-order saddle point,True
LeftNet-CF AD,547,11,1,1,True,Transition state,Transition state,True
LeftNet-CF AD,548,13,0,0,True,Minimum,Minimum,True
LeftNet-CF AD,549,14,1,1,True,Transition state,Transition state,True
LeftNet-CF AD,550,13,0,0,True,Minimum,Minimum,True
LeftNet-CF AD,551,9,2,2,True,Higher-order saddle point,Higher-order saddle point,True
LeftNet-CF AD,552,12,1,1,True,Transition state,Transition state,True
LeftNet-CF AD,553,14,1,1,True,Transition state,Transition state,True
LeftNet-CF AD,554,10,1,0,False,Transition state,Minimum,False
LeftNet-CF AD,555,16,0,0,True,Minimum,Minimum,True
LeftNet-CF AD,556,16,2,2,True,Higher-order saddle point,Higher-order saddle point,True
LeftNet-CF AD,557,11,1,1,True,Transition state,Transition state,True
LeftNet-CF AD,558,13,0,0,True,Minimum,Minimum,True
LeftNet-CF AD,559,13,0,0,True,Minimum,Minimum,True
LeftNet-CF AD,560,17,0,0,True,Minimum,Minimum,True
LeftNet-CF AD,561,12,0,0,True,Minimum,Minimum,True
LeftNet-CF AD,562,19,0,0,True,Minimum,Minimum,True
LeftNet-CF AD,563,14,1,1,True,Transition state,Transition state,True
LeftNet-CF AD,564,18,0,0,True,Minimum,Minimum,True
LeftNet-CF AD,565,14,6,8,False,Higher-order saddle point,Higher-order saddle point,True
LeftNet-CF AD,566,19,0,0,True,Minimum,Minimum,True
LeftNet-CF AD,567,13,1,1,True,Transition state,Transition state,True
LeftNet-CF AD,568,14,1,1,True,Transition state,Transition state,True
LeftNet-CF AD,569,15,1,1,True,Transition state,Transition state,True
LeftNet-CF AD,570,15,1,1,True,Transition state,Transition state,True
LeftNet-CF AD,571,14,1,2,False,Transition state,Higher-order saddle point,False
LeftNet-CF AD,572,16,3,3,True,Higher-order saddle point,Higher-order saddle point,True
LeftNet-CF AD,573,16,0,0,True,Minimum,Minimum,True
LeftNet-CF AD,574,13,1,1,True,Transition state,Transition state,True
LeftNet-CF AD,575,12,1,1,True,Transition state,Transition state,True
LeftNet-CF AD,576,12,0,0,True,Minimum,Minimum,True
LeftNet-CF AD,577,15,3,4,False,Higher-order saddle point,Higher-order saddle point,True
LeftNet-CF AD,578,14,2,2,True,Higher-order saddle point,Higher-order saddle point,True
LeftNet-CF AD,579,16,1,1,True,Transition state,Transition state,True
LeftNet-CF AD,580,13,1,1,True,Transition state,Transition state,True
LeftNet-CF AD,581,11,0,1,False,Minimum,Transition state,False
LeftNet-CF AD,582,16,1,1,True,Transition state,Transition state,True
LeftNet-CF AD,583,15,1,1,True,Transition state,Transition state,True
LeftNet-CF AD,584,17,2,2,True,Higher-order saddle point,Higher-order saddle point,True
LeftNet-CF AD,585,10,1,1,True,Transition state,Transition state,True
LeftNet-CF AD,586,11,1,1,True,Transition state,Transition state,True
LeftNet-CF AD,587,14,1,2,False,Transition state,Higher-order saddle point,False
LeftNet-CF AD,588,19,1,1,True,Transition state,Transition state,True
LeftNet-CF AD,589,14,2,3,False,Higher-order saddle point,Higher-order saddle point,True
LeftNet-CF AD,590,16,0,0,True,Minimum,Minimum,True
LeftNet-CF AD,591,15,1,1,True,Transition state,Transition state,True
LeftNet-CF AD,592,17,1,1,True,Transition state,Transition state,True
LeftNet-CF AD,593,13,0,0,True,Minimum,Minimum,True
LeftNet-CF AD,594,14,1,1,True,Transition state,Transition state,True
LeftNet-CF AD,595,15,1,1,True,Transition state,Transition state,True
LeftNet-CF AD,596,13,0,0,True,Minimum,Minimum,True
LeftNet-CF AD,597,11,0,0,True,Minimum,Minimum,True
LeftNet-CF AD,598,10,1,1,True,Transition state,Transition state,True
LeftNet-CF AD,599,12,1,1,True,Transition state,Transition state,True
LeftNet-CF AD,600,15,0,0,True,Minimum,Minimum,True
LeftNet-CF AD,601,9,2,2,True,Higher-order saddle point,Higher-order saddle point,True
LeftNet-CF AD,602,16,1,1,True,Transition state,Transition state,True
LeftNet-CF AD,603,16,0,0,True,Minimum,Minimum,True
LeftNet-CF AD,604,10,0,0,True,Minimum,Minimum,True
LeftNet-CF AD,605,17,2,2,True,Higher-order saddle point,Higher-order saddle point,True
LeftNet-CF AD,606,18,1,1,True,Transition state,Transition state,True
LeftNet-CF AD,607,14,0,0,True,Minimum,Minimum,True
LeftNet-CF AD,608,15,0,0,True,Minimum,Minimum,True
LeftNet-CF AD,609,19,0,0,True,Minimum,Minimum,True
LeftNet-CF AD,610,13,0,0,True,Minimum,Minimum,True
LeftNet-CF AD,611,14,1,1,True,Transition state,Transition state,True
LeftNet-CF AD,612,14,0,0,True,Minimum,Minimum,True
LeftNet-CF AD,613,12,0,1,False,Minimum,Transition state,False
LeftNet-CF AD,614,12,0,0,True,Minimum,Minimum,True
LeftNet-CF AD,615,15,1,1,True,Transition state,Transition state,True
LeftNet-CF AD,616,15,1,1,True,Transition state,Transition state,True
LeftNet-CF AD,617,12,1,1,True,Transition state,Transition state,True
LeftNet-CF AD,618,14,0,1,False,Minimum,Transition state,False
LeftNet-CF AD,619,15,1,1,True,Transition state,Transition state,True
LeftNet-CF AD,620,13,0,0,True,Minimum,Minimum,True
LeftNet-CF AD,621,13,0,0,True,Minimum,Minimum,True
LeftNet-CF AD,622,11,0,0,True,Minimum,Minimum,True
LeftNet-CF AD,623,16,1,1,True,Transition state,Transition state,True
LeftNet-CF AD,624,18,0,0,True,Minimum,Minimum,True
LeftNet-CF AD,625,11,2,1,False,Higher-order saddle point,Transition state,False
LeftNet-CF AD,626,14,1,1,True,Transition state,Transition state,True
LeftNet-CF AD,627,15,1,2,False,Transition state,Higher-order saddle point,False
LeftNet-CF AD,628,21,1,1,True,Transition state,Transition state,True
LeftNet-CF AD,629,11,2,4,False,Higher-order saddle point,Higher-order saddle point,True
LeftNet-CF AD,630,19,3,3,True,Higher-order saddle point,Higher-order saddle point,True
LeftNet-CF AD,631,15,1,2,False,Transition state,Higher-order saddle point,False
LeftNet-CF AD,632,18,1,1,True,Transition state,Transition state,True
LeftNet-CF AD,633,11,2,2,True,Higher-order saddle point,Higher-order saddle point,True
LeftNet-CF AD,634,16,1,1,True,Transition state,Transition state,True
LeftNet-CF AD,635,13,0,0,True,Minimum,Minimum,True
LeftNet-CF AD,636,12,1,1,True,Transition state,Transition state,True
LeftNet-CF AD,637,12,0,0,True,Minimum,Minimum,True
LeftNet-CF AD,638,16,1,1,True,Transition state,Transition state,True
LeftNet-CF AD,639,12,1,1,True,Transition state,Transition state,True
LeftNet-CF AD,640,15,2,2,True,Higher-order saddle point,Higher-order saddle point,True
LeftNet-CF AD,641,19,1,1,True,Transition state,Transition state,True
LeftNet-CF AD,642,16,2,2,True,Higher-order saddle point,Higher-order saddle point,True
LeftNet-CF AD,643,14,1,1,True,Transition state,Transition state,True
LeftNet-CF AD,644,18,3,3,True,Higher-order saddle point,Higher-order saddle point,True
LeftNet-CF AD,645,14,0,0,True,Minimum,Minimum,True
LeftNet-CF AD,646,11,0,1,False,Minimum,Transition state,False
LeftNet-CF AD,647,16,0,0,True,Minimum,Minimum,True
LeftNet-CF AD,648,16,1,1,True,Transition state,Transition state,True
LeftNet-CF AD,649,15,1,1,True,Transition state,Transition state,True
LeftNet-CF AD,650,12,1,1,True,Transition state,Transition state,True
LeftNet-CF AD,651,17,1,1,True,Transition state,Transition state,True
LeftNet-CF AD,652,11,0,0,True,Minimum,Minimum,True
LeftNet-CF AD,653,15,0,0,True,Minimum,Minimum,True
LeftNet-CF AD,654,10,1,1,True,Transition state,Transition state,True
LeftNet-CF AD,655,13,1,1,True,Transition state,Transition state,True
LeftNet-CF AD,656,17,0,0,True,Minimum,Minimum,True
LeftNet-CF AD,657,13,0,0,True,Minimum,Minimum,True
LeftNet-CF AD,658,12,1,1,True,Transition state,Transition state,True
LeftNet-CF AD,659,10,1,1,True,Transition state,Transition state,True
LeftNet-CF AD,660,14,1,1,True,Transition state,Transition state,True
LeftNet-CF AD,661,18,0,1,False,Minimum,Transition state,False
LeftNet-CF AD,662,14,2,2,True,Higher-order saddle point,Higher-order saddle point,True
LeftNet-CF AD,663,16,1,1,True,Transition state,Transition state,True
LeftNet-CF AD,664,10,1,2,False,Transition state,Higher-order saddle point,False
LeftNet-CF AD,665,12,0,0,True,Minimum,Minimum,True
LeftNet-CF AD,666,10,1,1,True,Transition state,Transition state,True
LeftNet-CF AD,667,13,1,1,True,Transition state,Transition state,True
LeftNet-CF AD,668,16,0,0,True,Minimum,Minimum,True
LeftNet-CF AD,669,11,1,2,False,Transition state,Higher-order saddle point,False
LeftNet-CF AD,670,14,0,0,True,Minimum,Minimum,True
LeftNet-CF AD,671,14,1,1,True,Transition state,Transition state,True
LeftNet-CF AD,672,12,1,1,True,Transition state,Transition state,True
LeftNet-CF AD,673,13,1,1,True,Transition state,Transition state,True
LeftNet-CF AD,674,14,1,1,True,Transition state,Transition state,True
LeftNet-CF AD,675,14,0,0,True,Minimum,Minimum,True
LeftNet-CF AD,676,14,0,0,True,Minimum,Minimum,True
LeftNet-CF AD,677,15,1,1,True,Transition state,Transition state,True
LeftNet-CF AD,678,18,0,1,False,Minimum,Transition state,False
LeftNet-CF AD,679,15,1,1,True,Transition state,Transition state,True
LeftNet-CF AD,680,13,0,1,False,Minimum,Transition state,False
LeftNet-CF AD,681,12,1,1,True,Transition state,Transition state,True
LeftNet-CF AD,682,9,0,0,True,Minimum,Minimum,True
LeftNet-CF AD,683,13,1,1,True,Transition state,Transition state,True
LeftNet-CF AD,684,15,2,2,True,Higher-order saddle point,Higher-order saddle point,True
LeftNet-CF AD,685,15,2,2,True,Higher-order saddle point,Higher-order saddle point,True
LeftNet-CF AD,686,8,1,1,True,Transition state,Transition state,True
LeftNet-CF AD,687,14,1,1,True,Transition state,Transition state,True
LeftNet-CF AD,688,19,1,1,True,Transition state,Transition state,True
LeftNet-CF AD,689,16,0,0,True,Minimum,Minimum,True
LeftNet-CF AD,690,10,0,0,True,Minimum,Minimum,True
LeftNet-CF AD,691,12,1,1,True,Transition state,Transition state,True
LeftNet-CF AD,692,17,0,0,True,Minimum,Minimum,True
LeftNet-CF AD,693,9,0,0,True,Minimum,Minimum,True
LeftNet-CF AD,694,15,1,1,True,Transition state,Transition state,True
LeftNet-CF AD,695,10,1,1,True,Transition state,Transition state,True
LeftNet-CF AD,696,10,1,2,False,Transition state,Higher-order saddle point,False
LeftNet-CF AD,697,15,2,2,True,Higher-order saddle point,Higher-order saddle point,True
LeftNet-CF AD,698,13,0,0,True,Minimum,Minimum,True
LeftNet-CF AD,699,12,1,1,True,Transition state,Transition state,True
LeftNet-CF AD,700,14,1,1,True,Transition state,Transition state,True
LeftNet-CF AD,701,17,2,2,True,Higher-order saddle point,Higher-order saddle point,True
LeftNet-CF AD,702,16,1,1,True,Transition state,Transition state,True
LeftNet-CF AD,703,15,1,1,True,Transition state,Transition state,True
LeftNet-CF AD,704,16,0,0,True,Minimum,Minimum,True
LeftNet-CF AD,705,10,0,0,True,Minimum,Minimum,True
LeftNet-CF AD,706,14,1,1,True,Transition state,Transition state,True
LeftNet-CF AD,707,14,0,0,True,Minimum,Minimum,True
LeftNet-CF AD,708,12,1,1,True,Transition state,Transition state,True
LeftNet-CF AD,709,12,1,1,True,Transition state,Transition state,True
LeftNet-CF AD,710,13,1,1,True,Transition state,Transition state,True
LeftNet-CF AD,711,11,0,0,True,Minimum,Minimum,True
LeftNet-CF AD,712,12,0,0,True,Minimum,Minimum,True
LeftNet-CF AD,713,14,1,1,True,Transition state,Transition state,True
LeftNet-CF AD,714,16,1,0,False,Transition state,Minimum,False
LeftNet-CF AD,715,11,0,0,True,Minimum,Minimum,True
LeftNet-CF AD,716,5,0,0,True,Minimum,Minimum,True
LeftNet-CF AD,717,14,1,1,True,Transition state,Transition state,True
LeftNet-CF AD,718,13,0,0,True,Minimum,Minimum,True
LeftNet-CF AD,719,11,2,2,True,Higher-order saddle point,Higher-order saddle point,True
LeftNet-CF AD,720,13,0,0,True,Minimum,Minimum,True
LeftNet-CF AD,721,13,1,2,False,Transition state,Higher-order saddle point,False
LeftNet-CF AD,722,12,0,0,True,Minimum,Minimum,True
LeftNet-CF AD,723,13,1,1,True,Transition state,Transition state,True
LeftNet-CF AD,724,19,2,2,True,Higher-order saddle point,Higher-order saddle point,True
LeftNet-CF AD,725,13,1,1,True,Transition state,Transition state,True
LeftNet-CF AD,726,11,0,0,True,Minimum,Minimum,True
LeftNet-CF AD,727,16,0,0,True,Minimum,Minimum,True
LeftNet-CF AD,728,14,1,1,True,Transition state,Transition state,True
LeftNet-CF AD,729,13,2,2,True,Higher-order saddle point,Higher-order saddle point,True
LeftNet-CF AD,730,14,0,2,False,Minimum,Higher-order saddle point,False
LeftNet-CF AD,731,14,1,2,False,Transition state,Higher-order saddle point,False
LeftNet-CF AD,732,16,1,1,True,Transition state,Transition state,True
LeftNet-CF AD,733,12,0,0,True,Minimum,Minimum,True
LeftNet-CF AD,734,12,1,1,True,Transition state,Transition state,True
LeftNet-CF AD,735,17,2,3,False,Higher-order saddle point,Higher-order saddle point,True
LeftNet-CF AD,736,5,1,1,True,Transition state,Transition state,True
LeftNet-CF AD,737,15,1,2,False,Transition state,Higher-order saddle point,False
LeftNet-CF AD,738,14,0,0,True,Minimum,Minimum,True
LeftNet-CF AD,739,16,0,0,True,Minimum,Minimum,True
LeftNet-CF AD,740,14,0,0,True,Minimum,Minimum,True
LeftNet-CF AD,741,15,1,2,False,Transition state,Higher-order saddle point,False
LeftNet-CF AD,742,12,0,0,True,Minimum,Minimum,True
LeftNet-CF AD,743,15,0,0,True,Minimum,Minimum,True
LeftNet-CF AD,744,13,1,1,True,Transition state,Transition state,True
LeftNet-CF AD,745,10,1,1,True,Transition state,Transition state,True
LeftNet-CF AD,746,13,0,1,False,Minimum,Transition state,False
LeftNet-CF AD,747,16,1,1,True,Transition state,Transition state,True
LeftNet-CF AD,748,8,0,0,True,Minimum,Minimum,True
LeftNet-CF AD,749,7,2,2,True,Higher-order saddle point,Higher-order saddle point,True
LeftNet-CF AD,750,14,2,2,True,Higher-order saddle point,Higher-order saddle point,True
LeftNet-CF AD,751,19,1,1,True,Transition state,Transition state,True
LeftNet-CF AD,752,14,1,1,True,Transition state,Transition state,True
LeftNet-CF AD,753,8,0,1,False,Minimum,Transition state,False
LeftNet-CF AD,754,12,1,1,True,Transition state,Transition state,True
LeftNet-CF AD,755,17,2,1,False,Higher-order saddle point,Transition state,False
LeftNet-CF AD,756,14,0,1,False,Minimum,Transition state,False
LeftNet-CF AD,757,11,1,2,False,Transition state,Higher-order saddle point,False
LeftNet-CF AD,758,13,0,0,True,Minimum,Minimum,True
LeftNet-CF AD,759,16,2,2,True,Higher-order saddle point,Higher-order saddle point,True
LeftNet-CF AD,760,11,0,0,True,Minimum,Minimum,True
LeftNet-CF AD,761,11,1,1,True,Transition state,Transition state,True
LeftNet-CF AD,762,16,1,2,False,Transition state,Higher-order saddle point,False
LeftNet-CF AD,763,15,3,4,False,Higher-order saddle point,Higher-order saddle point,True
LeftNet-CF AD,764,11,0,0,True,Minimum,Minimum,True
LeftNet-CF AD,765,12,1,2,False,Transition state,Higher-order saddle point,False
LeftNet-CF AD,766,14,1,1,True,Transition state,Transition state,True
